# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/z_mu
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/z_mu
Title=Normalized average rapidity of the muon
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
XLabel=$z_{\mu}$
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~z_{\mu}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.738733e+00	8.972641e-04	8.972641e-04
5.000000e-02	1.000000e-01	3.653366e+00	1.285700e-03	1.285700e-03
1.000000e-01	1.500000e-01	3.486536e+00	1.031317e-03	1.031317e-03
1.500000e-01	2.000000e-01	3.240766e+00	1.010725e-03	1.010725e-03
2.000000e-01	2.500000e-01	2.914248e+00	9.684314e-04	9.684314e-04
2.500000e-01	3.000000e-01	2.520257e+00	8.590494e-04	8.590494e-04
3.000000e-01	3.500000e-01	2.084146e+00	8.786127e-04	8.786127e-04
3.500000e-01	4.000000e-01	1.649890e+00	7.547949e-04	7.547949e-04
4.000000e-01	4.500000e-01	1.231151e+00	6.607018e-04	6.607018e-04
4.500000e-01	5.000000e-01	8.450895e-01	5.537094e-04	5.537094e-04
5.000000e-01	5.500000e-01	5.985247e-01	5.092317e-04	5.092317e-04
5.500000e-01	6.000000e-01	4.396501e-01	4.267167e-04	4.267167e-04
6.000000e-01	6.500000e-01	3.100907e-01	3.680611e-04	3.680611e-04
6.500000e-01	7.000000e-01	2.138888e-01	5.330467e-04	5.330467e-04
7.000000e-01	7.500000e-01	1.465171e-01	5.360125e-04	5.360125e-04
7.500000e-01	8.000000e-01	1.018109e-01	2.985315e-04	2.985315e-04
8.000000e-01	8.500000e-01	6.974726e-02	4.547097e-04	4.547097e-04
8.500000e-01	9.000000e-01	4.889121e-02	2.275848e-04	2.275848e-04
9.000000e-01	9.500000e-01	3.432511e-02	2.436115e-04	2.436115e-04
9.500000e-01	1.000000e+00	2.382475e-02	1.497049e-04	1.497049e-04
1.000000e+00	1.050000e+00	1.685761e-02	1.542790e-04	1.542790e-04
1.050000e+00	1.100000e+00	1.160649e-02	1.634152e-04	1.634152e-04
1.100000e+00	1.150000e+00	8.365137e-03	1.374551e-04	1.374551e-04
1.150000e+00	1.200000e+00	5.705748e-03	1.157774e-04	1.157774e-04
1.200000e+00	1.250000e+00	3.919540e-03	9.210954e-05	9.210954e-05
1.250000e+00	1.300000e+00	2.706232e-03	7.444268e-05	7.444268e-05
1.300000e+00	1.350000e+00	1.972108e-03	6.527335e-05	6.527335e-05
1.350000e+00	1.400000e+00	1.149018e-03	1.232972e-04	1.232972e-04
1.400000e+00	1.450000e+00	1.022730e-03	8.651500e-05	8.651500e-05
1.450000e+00	1.500000e+00	6.094847e-04	4.794749e-05	4.794749e-05
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=blue
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotErrorBandColor=blue
ScaledBy=6.19466512584469066e-06
Title=VBFNLO 3+Herwig 7
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.573500e+00	1.775594e-03	1.775594e-03
5.000000e-02	1.000000e-01	3.486214e+00	1.763937e-03	1.763937e-03
1.000000e-01	1.500000e-01	3.325664e+00	1.705589e-03	1.705589e-03
