0.00 0.05 4.305038243293652E+00 1.409404616293902E-03
0.05 0.10 4.211489751969050E+00 1.425344293990572E-03
0.10 0.15 4.027091207870257E+00 1.453884313757701E-03
0.15 0.20 3.754936713450800E+00 1.464110718154188E-03
0.20 0.25 3.394148666369462E+00 1.460061267443633E-03
0.25 0.30 2.958904117656855E+00 1.410583307239007E-03
0.30 0.35 2.472627538807626E+00 1.292249227076650E-03
0.35 0.40 1.974828222921698E+00 1.143875786276972E-03
0.40 0.45 1.478033782216650E+00 9.485779444688851E-04
0.45 0.50 1.028896834665455E+00 7.251989809984273E-04
0.50 0.55 7.398288616493461E-01 5.669602132338304E-04
0.55 0.60 5.472484144825815E-01 4.572177935688168E-04
0.60 0.65 3.956231134782693E-01 3.641926005264091E-04
0.65 0.70 2.751801114253432E-01 2.864936046037336E-04
0.70 0.75 1.914702719273313E-01 2.256460039845145E-04
0.75 0.80 1.330437535288953E-01 1.782432160120721E-04
0.80 0.85 9.239574628714303E-02 1.423771950435894E-04
0.85 0.90 6.452491610335528E-02 1.166181978344383E-04
0.90 0.95 4.465217355005451E-02 9.456583183793093E-05
0.95 1.00 3.101584014474156E-02 7.768384981276097E-05
1.00 1.05 2.154149196558595E-02 6.401962458350853E-05
1.05 1.10 1.478288064911723E-02 5.258460503915151E-05
1.10 1.15 1.014840071946277E-02 4.334475459065340E-05
1.15 1.20 6.880174282793881E-03 3.664709200363778E-05
1.20 1.25 4.619391241834065E-03 2.856498946044915E-05
1.25 1.30 3.090028262894673E-03 2.344032439783471E-05
1.30 1.35 2.033637580527293E-03 1.979377448043750E-05
1.35 1.40 1.309154751786056E-03 1.460997318612281E-05
1.40 1.45 8.392254552250675E-04 1.161006630471189E-05
1.45 1.50 5.149063691600169E-04 8.894168496789785E-06
