# BEGIN PLOT
LegendOnly=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j1
DrawOnly=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j1 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j1
RatioPlotReference=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j1
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j1
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	4.572894e-04	1.184765e-06	1.184765e-06
5.000000e+01	7.500000e+01	2.466243e-03	2.149726e-06	2.149726e-06
7.500000e+01	1.000000e+02	4.696611e-03	3.152763e-06	3.152763e-06
1.000000e+02	1.250000e+02	6.015018e-03	3.050896e-06	3.050896e-06
1.250000e+02	1.500000e+02	6.345222e-03	2.303287e-06	2.303287e-06
1.500000e+02	1.750000e+02	5.973739e-03	2.081767e-06	2.081767e-06
1.750000e+02	2.000000e+02	5.232781e-03	2.260239e-06	2.260239e-06
2.000000e+02	2.250000e+02	4.407310e-03	1.791224e-06	1.791224e-06
2.250000e+02	2.500000e+02	3.628589e-03	1.843911e-06	1.843911e-06
2.500000e+02	2.750000e+02	2.948274e-03	1.578301e-06	1.578301e-06
2.750000e+02	3.000000e+02	2.380550e-03	1.330840e-06	1.330840e-06
3.000000e+02	3.250000e+02	1.917646e-03	1.219578e-06	1.219578e-06
3.250000e+02	3.500000e+02	1.543328e-03	1.175202e-06	1.175202e-06
3.500000e+02	3.750000e+02	1.242547e-03	1.049152e-06	1.049152e-06
3.750000e+02	4.000000e+02	1.002638e-03	9.148516e-07	9.148516e-07
4.000000e+02	4.250000e+02	8.127539e-04	1.035675e-06	1.035675e-06
4.250000e+02	4.500000e+02	6.572676e-04	9.031420e-07	9.031420e-07
4.500000e+02	4.750000e+02	5.344418e-04	7.263922e-07	7.263922e-07
4.750000e+02	5.000000e+02	4.353341e-04	6.579898e-07	6.579898e-07
5.000000e+02	5.250000e+02	3.573033e-04	6.485498e-07	6.485498e-07
5.250000e+02	5.500000e+02	2.927038e-04	6.029927e-07	6.029927e-07
5.500000e+02	5.750000e+02	2.411317e-04	5.524585e-07	5.524585e-07
5.750000e+02	6.000000e+02	1.984389e-04	7.640201e-07	7.640201e-07
6.000000e+02	6.250000e+02	1.645938e-04	4.594341e-07	4.594341e-07
6.250000e+02	6.500000e+02	1.366053e-04	4.372901e-07	4.372901e-07
6.500000e+02	6.750000e+02	1.133945e-04	4.322712e-07	4.322712e-07
6.750000e+02	7.000000e+02	9.471829e-05	4.363981e-07	4.363981e-07
7.000000e+02	7.250000e+02	7.921982e-05	3.673139e-07	3.673139e-07
7.250000e+02	7.500000e+02	6.629000e-05	3.049673e-07	3.049673e-07
7.500000e+02	7.750000e+02	5.564834e-05	2.784689e-07	2.784689e-07
7.750000e+02	8.000000e+02	4.653882e-05	2.445032e-07	2.445032e-07
8.000000e+02	8.250000e+02	3.967551e-05	2.545849e-07	2.545849e-07
8.250000e+02	8.500000e+02	3.358310e-05	2.456610e-07	2.456610e-07
8.500000e+02	8.750000e+02	2.791560e-05	2.055692e-07	2.055692e-07
