# BEGIN PLOT
LegendOnly=//home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_mu //home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu
DrawOnly=//home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_mu //home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotReference=//home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//home/michi/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.738733e+00	8.972641e-04	8.972641e-04
5.000000e-02	1.000000e-01	3.653366e+00	1.285700e-03	1.285700e-03
1.000000e-01	1.500000e-01	3.486536e+00	1.031317e-03	1.031317e-03
1.500000e-01	2.000000e-01	3.240766e+00	1.010725e-03	1.010725e-03
2.000000e-01	2.500000e-01	2.914248e+00	9.684314e-04	9.684314e-04
2.500000e-01	3.000000e-01	2.520257e+00	8.590494e-04	8.590494e-04
3.000000e-01	3.500000e-01	2.084146e+00	8.786127e-04	8.786127e-04
3.500000e-01	4.000000e-01	1.649890e+00	7.547949e-04	7.547949e-04
4.000000e-01	4.500000e-01	1.231151e+00	6.607018e-04	6.607018e-04
4.500000e-01	5.000000e-01	8.450895e-01	5.537094e-04	5.537094e-04
5.000000e-01	5.500000e-01	5.985247e-01	5.092317e-04	5.092317e-04
5.500000e-01	6.000000e-01	4.396501e-01	4.267167e-04	4.267167e-04
6.000000e-01	6.500000e-01	3.100907e-01	3.680611e-04	3.680611e-04
6.500000e-01	7.000000e-01	2.138888e-01	5.330467e-04	5.330467e-04
7.000000e-01	7.500000e-01	1.465171e-01	5.360125e-04	5.360125e-04
7.500000e-01	8.000000e-01	1.018109e-01	2.985315e-04	2.985315e-04
8.000000e-01	8.500000e-01	6.974726e-02	4.547097e-04	4.547097e-04
8.500000e-01	9.000000e-01	4.889121e-02	2.275848e-04	2.275848e-04
9.000000e-01	9.500000e-01	3.432511e-02	2.436115e-04	2.436115e-04
9.500000e-01	1.000000e+00	2.382475e-02	1.497049e-04	1.497049e-04
1.000000e+00	1.050000e+00	1.685761e-02	1.542790e-04	1.542790e-04
1.050000e+00	1.100000e+00	1.160649e-02	1.634152e-04	1.634152e-04
1.100000e+00	1.150000e+00	8.365137e-03	1.374551e-04	1.374551e-04
