# BEGIN PLOT
LegendOnly=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j2
DrawOnly=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j2 //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotReference=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//home/karlberg/cernbox/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	8.363479e-03	2.841617e-06	2.841617e-06
5.000000e+01	7.500000e+01	1.158105e-02	2.790823e-06	2.790823e-06
7.500000e+01	1.000000e+02	1.022768e-02	2.776562e-06	2.776562e-06
1.000000e+02	1.250000e+02	7.628560e-03	2.217990e-06	2.217990e-06
1.250000e+02	1.500000e+02	5.266012e-03	1.991462e-06	1.991462e-06
1.500000e+02	1.750000e+02	3.537826e-03	1.470076e-06	1.470076e-06
1.750000e+02	2.000000e+02	2.391068e-03	1.383152e-06	1.383152e-06
2.000000e+02	2.250000e+02	1.638747e-03	1.217891e-06	1.217891e-06
2.250000e+02	2.500000e+02	1.134991e-03	1.049051e-06	1.049051e-06
2.500000e+02	2.750000e+02	8.019610e-04	8.510933e-07	8.510933e-07
2.750000e+02	3.000000e+02	5.730661e-04	8.178060e-07	8.178060e-07
3.000000e+02	3.250000e+02	4.136568e-04	7.122245e-07	7.122245e-07
3.250000e+02	3.500000e+02	3.028587e-04	6.197282e-07	6.197282e-07
3.500000e+02	3.750000e+02	2.246620e-04	6.453002e-07	6.453002e-07
3.750000e+02	4.000000e+02	1.682726e-04	4.988795e-07	4.988795e-07
4.000000e+02	4.250000e+02	1.268862e-04	5.200877e-07	5.200877e-07
4.250000e+02	4.500000e+02	9.568477e-05	4.747534e-07	4.747534e-07
4.500000e+02	4.750000e+02	7.325553e-05	4.238578e-07	4.238578e-07
4.750000e+02	5.000000e+02	5.615127e-05	3.626599e-07	3.626599e-07
5.000000e+02	5.250000e+02	4.394005e-05	5.535230e-07	5.535230e-07
5.250000e+02	5.500000e+02	3.385875e-05	6.873135e-07	6.873135e-07
5.500000e+02	5.750000e+02	2.651695e-05	2.640982e-07	2.640982e-07
5.750000e+02	6.000000e+02	2.100264e-05	4.569039e-07	4.569039e-07
6.000000e+02	6.250000e+02	1.655829e-05	3.172364e-07	3.172364e-07
6.250000e+02	6.500000e+02	1.301163e-05	2.323833e-07	2.323833e-07
