# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_all.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scale.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/z_e
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_all.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scale.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/z_e
Title=Normalised average rapidity of the electron (NLO+PS)
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_e
XLabel=$z_{e}$
YLabel=$d~\sigma_{pp\to e^+\nu \mu^+\nu jj}/d~z_{e}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor={[rgb]{0.40,0.40,0.40}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.40,0.40,0.40}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor={[rgb]{0.40,0.40,0.40}}
ScaledBy=1
Title=NLO (fixed order)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.774006e+00	1.017854e-03	1.017854e-03
5.000000e-02	1.000000e-01	3.687485e+00	1.062766e-03	1.062766e-03
1.000000e-01	1.500000e-01	3.523683e+00	1.058161e-03	1.058161e-03
1.500000e-01	2.000000e-01	3.273884e+00	9.625384e-04	9.625384e-04
2.000000e-01	2.500000e-01	2.950009e+00	9.013275e-04	9.013275e-04
2.500000e-01	3.000000e-01	2.553117e+00	8.805538e-04	8.805538e-04
3.000000e-01	3.500000e-01	2.117266e+00	9.205404e-04	9.205404e-04
3.500000e-01	4.000000e-01	1.680718e+00	9.592709e-04	9.592709e-04
4.000000e-01	4.500000e-01	1.259655e+00	6.774117e-04	6.774117e-04
4.500000e-01	5.000000e-01	8.685123e-01	7.079169e-04	7.079169e-04
5.000000e-01	5.500000e-01	6.190529e-01	4.820384e-04	4.820384e-04
5.500000e-01	6.000000e-01	4.584649e-01	4.874517e-04	4.874517e-04
6.000000e-01	6.500000e-01	3.262695e-01	4.486778e-04	4.486778e-04
6.500000e-01	7.000000e-01	2.249826e-01	5.522684e-04	5.522684e-04
7.000000e-01	7.500000e-01	1.557152e-01	5.115377e-04	5.115377e-04
7.500000e-01	8.000000e-01	1.084876e-01	2.480688e-04	2.480688e-04
8.000000e-01	8.500000e-01	7.603753e-02	2.349042e-04	2.349042e-04
8.500000e-01	9.000000e-01	5.253125e-02	2.263679e-04	2.263679e-04
9.000000e-01	9.500000e-01	3.681781e-02	2.085386e-04	2.085386e-04
9.500000e-01	1.000000e+00	2.614810e-02	1.758318e-04	1.758318e-04
1.000000e+00	1.050000e+00	1.808580e-02	1.353721e-04	1.353721e-04
1.050000e+00	1.100000e+00	1.266443e-02	1.236670e-04	1.236670e-04
1.100000e+00	1.150000e+00	8.801517e-03	1.187333e-04	1.187333e-04
1.150000e+00	1.200000e+00	6.307032e-03	1.419250e-04	1.419250e-04
1.200000e+00	1.250000e+00	4.356706e-03	1.310594e-04	1.310594e-04
1.250000e+00	1.300000e+00	2.925242e-03	9.232063e-05	9.232063e-05
1.300000e+00	1.350000e+00	1.926291e-03	1.139396e-04	1.139396e-04
1.350000e+00	1.400000e+00	1.457327e-03	9.183517e-05	9.183517e-05
1.400000e+00	1.450000e+00	9.660869e-04	6.105772e-05	6.105772e-05
1.450000e+00	1.500000e+00	5.698145e-04	1.437897e-04	1.437897e-04
# END HISTO1D


# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor={[rgb]{0.46,0.44,0.70}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.46,0.44,0.70}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor={[rgb]{0.46,0.44,0.70}}
ScaledBy=4.29481468359931388e-06
Title=MG5_aMC+H++ 2.7.1
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.934910e+00	2.684641e-02	2.684641e-02
5.000000e-02	1.000000e-01	3.849098e+00	2.661912e-02	2.661912e-02
1.000000e-01	1.500000e-01	3.660728e+00	2.600460e-02	2.600460e-02
1.500000e-01	2.000000e-01	3.406732e+00	2.499317e-02	2.499317e-02
2.000000e-01	2.500000e-01	3.057736e+00	2.380583e-02	2.380583e-02
2.500000e-01	3.000000e-01	2.657288e+00	2.213959e-02	2.213959e-02
3.000000e-01	3.500000e-01	2.229352e+00	2.013604e-02	2.013604e-02
3.500000e-01	4.000000e-01	1.739228e+00	1.796732e-02	1.796732e-02
4.000000e-01	4.500000e-01	1.289733e+00	1.555909e-02	1.555909e-02
4.500000e-01	5.000000e-01	8.801794e-01	1.291390e-02	1.291390e-02
5.000000e-01	5.500000e-01	6.337428e-01	1.089089e-02	1.089089e-02
